fault,gas,delta_mean,delta_std,n_seeds_passing,n_seeds,all_pass
D1,C2H2,1.2747630774974823,0.02499933300382909,5,5,True
D1,H2,0.5003426432609558,0.010406670608535546,5,5,True
D2,C2H2,1.0028104960918427,0.03456965259473443,5,5,True
D2,H2,0.4859843462705612,0.015930979678067156,5,5,True
PD,H2,1.6153982043266297,0.027919047743659314,5,5,True
T1,C2H6,0.6162488266825676,0.06278867322193062,5,5,True
T1,CH4,0.7796410024166107,0.03837488097697113,5,5,True
T2,C2H4,0.9185190916061401,0.02258900266404548,5,5,True
T2,C2H6,0.7575010597705841,0.030376195982114367,5,5,True
T3,C2H4,1.0831119060516357,0.02546644916106875,5,5,True
T3,C2H6,1.4979682445526123,0.023133474886142258,5,5,True
