method,family,acc_display,f1_display,coverage,p_value,sig,n_seeds
"PICL (Full, this paper)",Proposed,94.79 ± 0.23,95.15 ± 0.19,0.8981818181818182,,,5
"PICL (Full, accepted)",Proposed,96.97 ± 0.34,—,0.8981818181818182,,,5
DRM,Rule-based,19.70 ± 0.00,22.15 ± 0.00,0.29393939393939394,,,1
DTM,Rule-based,22.12 ± 0.00,20.20 ± 0.00,0.8363636363636363,,,1
GNB,Probabilistic,86.36 ± 0.00***,87.30 ± 0.00,1.0,1.9665447657447428e-07,***,5
GMM,Probabilistic,89.15 ± 0.30***,89.94 ± 0.31,1.0,1.0514175706933791e-05,***,5
SVM,Discriminative ML,92.73 ± 0.00***,92.71 ± 0.00,1.0,5.3908358156835474e-05,***,5
Random Forest,Discriminative ML,94.85 ± 0.00,95.15 ± 0.05,1.0,0.6213082950374971,,5
XGBoost,Discriminative ML,93.64 ± 0.00***,93.98 ± 0.00,1.0,0.0005293110480557793,***,5
ANN,Discriminative ML,92.00 ± 0.59**,92.30 ± 0.57,1.0,0.0017665112521115544,**,5
CNN,Discriminative ML,91.58 ± 0.52***,91.85 ± 0.54,1.0,0.00014421479504952528,***,5
HillClimb (BN),Causal DAG,76.36 ± 0.00***,77.23 ± 0.00,1.0,8.603662410851287e-09,***,5
GES (BN),Causal DAG,86.67 ± 0.00***,87.39 ± 0.00,1.0,2.276690537430335e-07,***,5
NOTEARS,Causal DAG,66.97 ± 0.00***,65.76 ± 0.00,1.0,1.6557261178131966e-09,***,5
DCDI*,Causal DAG,65.33 ± 0.41***,62.19 ± 0.53,1.0,2.752010177655333e-08,***,5
