comparison,method,coverage,coverage_n,acc_on_covered_mean,acc_on_covered_std,n_correct
(A) own coverage-conditional accuracy,DRM,0.29393939393939394,97,0.6701030927835051,0.0,65
(A) own coverage-conditional accuracy,DTM,0.8363636363636363,276,0.2644927536231884,0.0,73
(A) own coverage-conditional accuracy,"PICL (own gamma*, mean over 5 seeds)",0.8981818181818182,296,0.9696657913642296,0.0033877182808937714,-1
(B) intersection: covered by DRM AND DTM AND PICL,DRM,0.26545454545454544,87,0.6962707061668425,0.005795137970660795,-1
(B) intersection: covered by DRM AND DTM AND PICL,DTM,0.26545454545454544,87,0.25301314389806284,0.013282556614305725,-1
(B) intersection: covered by DRM AND DTM AND PICL,PICL,0.26545454545454544,87,0.9771452717526667,0.000741105043994588,-1
(C) matched coverage: PICL forced to DRM's 29.39% coverage,DRM,0.29393939393939394,97,0.6701030927835051,0.0,65
(C) matched coverage: PICL forced to DRM's 29.39% coverage,PICL @ matched cov,0.29393939393939394,97,1.0,0.0,-1
(C) matched coverage: PICL forced to DTM's 83.64% coverage,DTM,0.8363636363636363,276,0.2644927536231884,0.0,73
(C) matched coverage: PICL forced to DTM's 83.64% coverage,PICL @ matched cov,0.8363636363636363,276,0.9688405797101449,0.001774992567234195,-1
